SL NO. ,FIRNO,POLICE STATION ,U/S ,DATE ,OFFENDING VEHICLE ,VICTIMS ,PLACE OF OCCURANCE,ROAD NAME,YEAR
774,1,KAROL BAGH,279/337 IPC,01-Jan-20,UNKNOWN,PED,NR KOLMET HOSPITAL PUSA RD,PUSA ROAD,2020
786,1,MANDIR MARG,279/337 IPC,02-Jan-16,S/C&M/C,TWW,MANDIR MARK T POINT P K ROAD D,PANCHKUIAN ROAD,2016
1009,1,RAJENDER NAGAR,279 IPC,01-Jan-17,PVT CAR,CAR,NR HNO R-655 RAJENDER NAGAR,MINOR ROADS,2017
1069,1,DELHI CANNT,279/337 IPC,01-Jan-16,TEMPO,TMP,IOC RED LIGHT DELHI CANTT,201 NO.ROAD,2016
1193,1,DELHI CANNT,279/304 A IPC,01-Jan-17,PVT CAR,HDC,NR IOC RED LIGHT DWARKA RD,201 NO.ROAD,2017
1487,1,DELHI CANNT,279/337 IPC,03-Jan-20,UNKNOWN,PED,RING ROAD DHAULA KUAN,RING ROAD,2020
1810,1,DWARKA,279/337 IPC,01-Jan-19,PVT CAR,CYC,I/F VARDHMAN MALL SEC.19,201 NO.ROAD,2019
2214,1,DWARKA SOUTH,279/337 IPC,01-Jan-16,BUS OTR,CAR,RED LIGHT SPORT COMPLEX SEC-11,MINOR ROADS,2016
3155,1,GAJI PUR,279/304 A IPC,01-Jan-17,UNKNOWN,PED,NR PARK IN HOTEL NR P PUMP,NH-24,2017
3255,1,GAJI PUR,279/337 IPC,01-Jan-19,UNKNOWN,TWW,NR CNG PUMP GAZIPUR,NH-24,2019
3669,1,JAGAT PURI,279/337 IPC,01-Jan-19,UNKNOWN,TWW,NR KADKARI MORE,MINOR ROADS,2019
3865,1,KRISHNA NAGAR,279/337 IPC,02-Jan-17,TEMPO,PED,INF ALLAHABAD BANK KANTI NAGAR,57 NO ROAD,2017
3983,1,LAXMI NAGAR (SHAKAR PUR),279/304 A IPC,01-Jan-17,PVT CAR,TWW,ITO TWDS LAXMI NAGAR NR GEETA,VIKAS MARG,2017
4197,1,MADHU VIHAR,279/337 IPC,01-Jan-18,UNKNOWN,TWW,OPP. CNG PUMP IP EXTENTION,MINOR ROADS,2018
4227,1,MADHU VIHAR,279/304 A IPC,01-Jan-19,UNKNOWN,PED,NR HASANPUR DEPOT,ROAD NO 57,2019
