Auto_Date,Auto_Time,Vehicle_ID,Crash_ID,Vehicle_Type,Impacting_VehOrObject,Veh_Reg_Number,Veh_Make,Veh_Model,Veh_Model_Year,Veh_TrafficViolation,Veh_Manoeuvre_at_Crash,Veh_Loading_Condition,Veh_Mechanical_Failure,Veh_Hazardous_Cargo,Vehicle_Fire,Veh_Disposition,Combo48
05-Sep-22,01:42 PM,2291,1461,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2292,1462,MTW - Motorcycle Light,Unknown,DL 5SCA 9873,,,,,,,,,,,
05-Sep-22,01:42 PM,2293,1463,MTW - Motorcycle Light,Unknown,,,,,,,,,,,,
05-Sep-22,01:42 PM,2294,1464,Truck (Generic),MTW - Motorcycle Light,HR 73 1593,,,,,,,,,,,
05-Sep-22,01:42 PM,2295,1464,MTW - Motorcycle Light,Truck (Generic),DL 9SAI 8046,,,,,,,,,,,
05-Sep-22,01:42 PM,2296,1465,Unknown,MTW - Motorcycle Light,,,,,,,,,,,,
05-Sep-22,01:42 PM,2297,1465,MTW - Motorcycle Light,Unknown,DL 5SBK 5337,,,,,,,,,,,
05-Sep-22,01:42 PM,2298,1466,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2299,1467,Truck (Generic),Pedestrian,UP 15CT 0319,,,,,,,,,,,
05-Sep-22,01:42 PM,2300,1468,MTW - Motorcycle Light,Unknown,DL 5SY 0573,,,,,,,,,,,
05-Sep-22,01:42 PM,2301,1469,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2302,1470,MTW - Motorcycle Light,Hand Drawn Vehicle,DL 5SY 9546,,,,,,,,,,,
05-Sep-22,01:42 PM,2303,1470,Hand Drawn Vehicle,MTW - Motorcycle Light,,,,,,,,,,,,
05-Sep-22,01:42 PM,2304,1471,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2305,1472,Truck (Generic),Two-Axle Medium Commercial Vehicle,UP 13 T 0724,,,,,,,,,,,
05-Sep-22,01:42 PM,2306,1473,"Car - SUV, Passenger",Pedestrian,DL 9CQS 1610,,,,,,,,,,,
05-Sep-22,01:42 PM,2307,1474,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2308,1475,Truck (Generic),Intermediate Commercial Vehicle,HR 69 B 0375,,,,,,,,,,,
05-Sep-22,01:42 PM,2309,1475,Intermediate Commercial Vehicle,Truck (Generic),UP 14 GT 5220,,,,,,,,,,,
05-Sep-22,01:42 PM,2310,1476,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2311,1477,Two-Axle Medium Commercial Vehicle,Pedestrian,HR 55AC 0415,,,,,,,,,,,
05-Sep-22,01:42 PM,2312,1478,MTW - Motorcycle Light,Unknown,DL 7SBT 2851,,,,,,,,,,,
05-Sep-22,01:42 PM,2313,1479,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2314,1480,MTW - Scooter/Moped,Unknown,DL 11SG 5205,,,,,,,,,,,
05-Sep-22,01:42 PM,2315,1481,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2316,1482,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2317,1483,"Car - SUV, Passenger",Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2318,1484,Two-Axle Medium Commercial Vehicle,MTW - Motorcycle Light,DL 1LR 3417,,,,,,,,,,,
05-Sep-22,01:42 PM,2319,1484,MTW - Motorcycle Light,Two-Axle Medium Commercial Vehicle,DL 4SCT 0569,,,,,,,,,,,
05-Sep-22,01:42 PM,2320,1485,Bus,MTW - Scooter/Moped,DL 18D 1551,,,,,,,,,,,
05-Sep-22,01:42 PM,2321,1485,MTW - Scooter/Moped,Bus,DL 11SB 7890,,,,,,,,,,,
05-Sep-22,01:42 PM,2323,1486,Cycle Rickshaw,"Car - Van, Passenger",,,,,,,,,,,,
05-Sep-22,01:42 PM,2324,1487,MTW - Motorcycle Light,"Car - Van, Commercial",DL 35BL 6976,,,,,,,,,,,
05-Sep-22,01:42 PM,2325,1488,MTW - Motorcycle Light,Unknown,,,,,,,,,,,,
05-Sep-22,01:42 PM,2327,1489,MTW - Motorcycle Light,MTW - Scooter/Moped,DL 4SCP 4055,,,,,,,,,,,
05-Sep-22,01:42 PM,2328,1490,"Car - SUV, Commercial",Pole,HR 66B 7825,,,,,,,,,,,
05-Sep-22,01:42 PM,2329,1491,Two-Axle Medium Commercial Vehicle,Wall,DL 1 LR 9303,,,,,,,,,,,
05-Sep-22,01:42 PM,2330,1492,Agricultural Tractor,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2331,1493,MTW - Motorcycle Light,Tractor with Trailer,DL 8SBK 4806,,,,,,,,,,,
05-Sep-22,01:42 PM,2332,1493,Tractor with Trailer,MTW - Scooter/Moped,,,,,,,,,,,,
05-Sep-22,01:42 PM,2333,1494,Unknown,Pedestrian,,,,,,,,,,,,
05-Sep-22,01:42 PM,2334,1495,Bicycle,Truck (Generic),,,,,,,,,,,,
05-Sep-22,01:42 PM,2335,1495,Truck (Generic),Bicycle,HR 38R 2827,,,,,,,,,,,
05-Sep-22,01:42 PM,2336,1496,Unknown,Pedestrian,,,,,,,,,,,,
