PS_ID,PS_Name,PS_State,PS_Dist
1,Adarsh Nagar,Delhi,Delhi
2,Ali Pur,Delhi,Delhi
3,Aman Vihar,Delhi,Delhi
4,Amar Colony,Delhi,Delhi
5,CIVIL LINESAmbedkar Nagar,Delhi,Delhi
6,Anand Parbat,Delhi,Delhi
7,AnandVihar,Delhi,Delhi
8,Ashok Vihar,Delhi,Delhi
9,Baba Haridas Nagar,Delhi,Delhi
10,Badarpur,Delhi,Delhi
11,Bara Hindu Rao,Delhi,Delhi
12,Barakhamba Road,Delhi,Delhi
13,Bawana,Delhi,Delhi
14,BegumPur,Delhi,Delhi
15,Bhajan Pura,Delhi,Delhi
16,Bhalaswa Dairy,Delhi,Delhi
17,Bharat Nagar,Delhi,Delhi
18,Binda Pur,Delhi,Delhi
19,BudhVihar,Delhi,Delhi
20,Burari,Delhi,Delhi
21,Chandni Mahal,Delhi,Delhi
22,ChankyaPuri,Delhi,Delhi
23,Chhawla,Delhi,Delhi
24,Chitaranjan Park,Delhi,Delhi
25,Civil Lines,Delhi,Delhi
26,Connaught Place,Delhi,Delhi
27,D.B.G. Road,Delhi,Delhi
28,Dabri,Delhi,Delhi
29,Darya Ganj,Delhi,Delhi
30,Dayalpur,Delhi,Delhi
31,Defence Colony,Delhi,Delhi
32,Delhi Cantt.,Delhi,Delhi
33,Dwarka North,Delhi,Delhi
34,Dwarka South,Delhi,Delhi
35,Farash Bazar,Delhi,Delhi
36,Fatehpur Beri,Delhi,Delhi
37,G.T B. Enclave,Delhi,Delhi
38,Gandhi Nagar,Delhi,Delhi
39,Geeta Colony,Delhi,Delhi
40,Ghazipur,Delhi,Delhi
41,GokulPuri,Delhi,Delhi
42,GovindPuri,Delhi,Delhi
43,Greater Kailash,Delhi,Delhi
44,GulabiBagh,Delhi,Delhi
45,Hari Nagar,Delhi,Delhi
46,Hari Nagar,Delhi,Delhi
47,Hauz Qazi,Delhi,Delhi
48,HauzKhas,Delhi,Delhi
49,Hazrat Nizammuddin,Delhi,Delhi
