unique(victim_20$`Police station`)
DARYA GANJ
DESH BANDHU GUPTA RD
I.P. ESTATE
JAMA MASJID
KAMLA MARKET
KAROL BAGH
MANDIR MARG
PAHAR GANJ
PRASHAD NAGAR
SADAR BAZAR
DELHI CANNT
DWARKA
DWARKA NORTH
DWARKA SOUTH
I.G.I AIR PORT-I
VASANT KUNJ NORTH
VASANT KUNJ SOUTH
ANAND VIHAR
FARSH BAZAR
GAJI PUR
GANDHI NAGAR
GEETA COLONY
JAGAT PURI
KALYAN PURI
KRISHNA NAGAR
LAXMI NAGAR (SHAKAR PUR)
MANDAWLI
MAYUR VIHAR
NEW ASHOK NAGAR
PANDAV NAGAR
PATPARGANJ IND. AREA
PREET VIHAR
SHAKAR PUR (NEW)
VIVEK VIHAR
CHANAKYA PURI
CONNAUGHT PLACE
NORTH AVENUE
PARLIAMENT STREET
TILAK MARG
TUGLAK ROAD
BARA HINDU RAO
CIVIL LINES
GULABI BAGH
KASHMIRI GATE
KOTWALI
LAHORI GATE
MAURICE NAGAR
ROOP NAGAR
SABZI MANDI
SARAI ROHILA
TIMAR PUR
DAYAL PUR
GOKAL PURI
GTB ENCLAVE
HARSH VIHAR
JYOTI NAGAR
KARAWAL NAGAR
KHAZOORI
"NAND NAGRI"
NEW USHMAN PUR
SEELAM PUR
SEEMA PURI
SHAHDARA
SHASTRI PARK
SONIA VIHAR
ADARSH NAGAR
ALIPUR
ASHOK VIHAR
BHALASWA DAIRY
BHARAT NAGAR
BURARI
JAHANGIR PURI
KESHAV PURAM
MAHENDRA PARK
MANGOL PURI
MODEL TOWN
MUKHERJI NAGAR
"NARELA (IND. AREA)"
"NARELA (OLD IND. AREA)"
RANI BAGH
SAMAY PUR BADLI
SARASWATI VIHAR(SUBHASH PLACE)
SHALIMAR BAGH
SWAROOP NAGAR
WAZIRABAD
AMAN VIHAR
BAWANA
BEGUM PUR
BUDH VIHAR
K.N.KATJU MARG
KANJHAWALA
MAURYA ENCLAVE
PRASHANT VIHAR
PREM NAGAR
RAJ PARK
ROHINI NORTH
ROHINI SOUTH
SHAHBAD DAIRY
SULTAN PURI
VIJAY VIHAR
DEFENCE COLONY
FATEHPUR BERI
HAUZ KHAS
HAZRAT NIZAMUDDIN
KISHAN GARH
KOTLA MUBARAK PUR
LAJPAT NAGAR
LODHI COLONY
MAIDAN GARHI
MEHRAULI
NEB SARAI
R.K. PURAM
SAFDARJUNG ENCLAVE
SAKET
SAROJNI NAGAR
TIGRI
VASANT VIHAR
AMAR COLONY
BADAR PUR
CHITRANJAN PARK
DR AMBEDKAR NAGAR
GOVIND PURI
GREATER KAILASH
JAIT PUR
KALINDI KUNJ
KALKAJI
NEW FRIENDS COLONY
OKHLA
PUL PRAHLAD PUR
SANGAM VIHAR
SARITA VIHAR
SHAHEEN BAGH
SUNLIGHT COLONY
BABA HARIDAS NAGAR
BINDA PUR
CHHAWALA
JAFFAR PUR
KAPASHERA
MOHAN GARDEN
"NAJAFGARH"
RANHOLA
TILAK NAGAR
UTTAM NAGAR
VIKAS PURI
ANAND PARBAT
DABRI
HARI NAGAR
INDER PURI
JANAK PURI
KHAYALA
KIRTI NAGAR
MAYA PURI
MOTI NAGAR
MUNDKA
"NANGLOI"
"NARAINA"
NIHAL VIHAR
PASCHIM VIHAR (EAST)
PASCHIM VIHAR (WEST)
PATEL NAGAR
PUNJABI BAGH
RAJENDER NAGAR
RAJOURI GARDEN
RANJIT NAGAR
SAGAR PUR
