unique(DP_crash_level_data$`POLICE STATION`)
KAROL BAGH
MANDIR MARG
RAJENDER NAGAR
DELHI CANNT
DWARKA
DWARKA SOUTH
GAJI PUR
JAGAT PURI
KRISHNA NAGAR
LAXMI NAGAR (SHAKAR PUR)
MADHU VIHAR
NEW ASHOK NAGAR
SHAKAR PUR (NEW)
BARAKHAMBA ROAD
CHANAKYA PURI
CONNAUGHT PLACE
NORTH AVENUE
PARLIAMENT STREET
SOUTH AVENUE
TILAK MARG
TUGLAK ROAD
BARA HINDU RAO
CIVIL LINES
GULABI BAGH
KASHMIRI GATE
MAURICE NAGAR
SABZI MANDI
TIMAR PUR
DAYAL PUR
GTB ENCLAVE
KHAZOORI
NEW USHMAN PUR
SHAHDARA
SHASTRI PARK
ADARSH NAGAR
ASHOK VIHAR
BURARI
KESHAV PURAM
MAHENDRA PARK
METRO SUBHASH PLACE
"NARELA (OLD IND. AREA)"
SAMAY PUR BADLI
SARASWATI VIHAR(SUBHASH PLACE)
SWAROOP NAGAR
AMAN VIHAR
K.N.KATJU MARG
MAURYA ENCLAVE
RANI BAGH
ROHINI NORTH
ROHINI SOUTH
SHALIMAR BAGH
HAZRAT NIZAMUDDIN
MALVIYA NAGAR
SAKET
SAROJNI NAGAR
VASANT VIHAR
AMAR COLONY
CHITRANJAN PARK
DEFENCE COLONY
KALKAJI
LAJPAT NAGAR
NEW FRIENDS COLONY
OKHLA
PUL PRAHLAD PUR
SARITA VIHAR
SUNLIGHT COLONY
BABA HARIDAS NAGAR
CHHAWALA
UTTAM NAGAR
VASANT KUNJ SOUTH
VIKAS PURI
JANAK PURI
KIRTI NAGAR
MAYA PURI
MOTI NAGAR
MUNDKA
RANJIT NAGAR
DARYA GANJ
DWARKA NORTH
FARSH BAZAR
GANDHI NAGAR
KALYAN PURI
MANDAWLI
MAYUR VIHAR
PREET VIHAR
KOTWALI
ROOP NAGAR
SARAI ROHILA
SEEMA PURI
SONIA VIHAR
ALIPUR
BHALASWA DAIRY
MODEL TOWN
WAZIRABAD
BAWANA
SHAHBAD DAIRY
DHAULA KUAN(SOUTH CAMPUS)
FATEHPUR BERI
HAUZ KHAS
KISHAN GARH
LODHI COLONY
R.K. PURAM
JAIT PUR
KALINDI KUNJ
KAPASHERA
MOHAN GARDEN
RANHOLA
"NANGLOI"
NIHAL VIHAR
PASCHIM VIHAR (EAST)
PATEL NAGAR
PUNJABI BAGH
DESH BANDHU GUPTA RD
I.G.I AIR PORT-I
PALAM VILLEGE
ANAND VIHAR
PANDAV NAGAR
KARAWAL NAGAR
"NAND NAGRI"
SEELAM PUR
ZAFRABAD
JAHANGIR PURI
BEGUM PUR
MANGOL PURI
SULTAN PURI
KOTLA MUBARAK PUR
MEHRAULI
DR AMBEDKAR NAGAR
SANGAM VIHAR
SHAHEEN BAGH
ANAND PARBAT
"NARAINA"
PASCHIM VIHAR (WEST)
SAGAR PUR
KAMLA MARKET
VASANT KUNJ NORTH
GEETA COLONY
LAHORI GATE
"NARELA (IND. AREA)"
BADAR PUR
TIGRI
JAFFAR PUR
"NAJAFGARH"
TILAK NAGAR
MIANWALI
RAJOURI GARDEN
I.P. ESTATE
SAFDARJUNG ENCLAVE
GOVIND PURI
DABRI
HARI NAGAR
INDER PURI
JAMA MASJID
PAHAR GANJ
HARSH VIHAR
WELCOME COLONY
KANJHAWALA
PATPARGANJ IND. AREA
BHAJAN PURA
JAMIA NAGAR
BINDA PUR
RLY STN.NEW DELHI
SADAR BAZAR
GOKAL PURI
JYOTI NAGAR
KHAYALA
PRASHANT VIHAR
"NABI KARIM"
PRASHAD NAGAR
VIVEK VIHAR
NEB SARAI
MUKHERJI NAGAR
PREM NAGAR
METRO RAJA GARDEN
GREATER KAILASH
BHARAT NAGAR
BUDH VIHAR
VIJAY VIHAR
SUBZI MANDI RAILWAY STATION
MANSAROVER PARK
HAUZ QAZI
DELHI CANTT RLY STATION
MAIDAN GARHI
RAJ PARK
DOMESTIC AIRPORT
METRO SHASTRI PARK
CHANDNI MAHAL
RLY STN. OLD DELHI
