FIR.No.,PS_Name,Date.of.crash,Victim_user_type,Responsible.road.user
125,DARYA GANJ,23-Jun-20,MTW,MTW
192,DARYA GANJ,23-Sep-20,MTW,Car
182,DESH BANDHU GUPTA RD,12-Jul-20,Pedestrian,M3W
215,I.P. ESTATE,18-Oct-20,Car,M3W
229,I.P. ESTATE,06-Nov-20,Pedestrian,Truck/Tractor
4,KAMLA MARKET,02-Jan-20,MTW,Unknown
93,KAROL BAGH,14-Mar-20,Pedestrian,Unknown
344,KAROL BAGH,30-Jul-20,Self,Unknown
110,MANDIR MARG,20-Sep-20,Pedestrian,MTW
18,PAHAR GANJ,12-Jan-20,MTW,MTW
195,PAHAR GANJ,21-Aug-20,Pedestrian,M3W
210,SADAR BAZAR,06-Oct-20,MTW,Truck/Tractor
265,DELHI CANNT,09-Jun-20,Pedestrian,MTW
306,DELHI CANNT,01-Aug-20,MTW,Other
368,DELHI CANNT,15-Sep-20,Car,Truck/Tractor
369,DELHI CANNT,15-Sep-20,Pedestrian,Unknown
381,DELHI CANNT,18-Sep-20,MTW,Car
413,DELHI CANNT,09-Oct-20,Pedestrian,Car
425,DELHI CANNT,21-Oct-20,Car,Unknown
473,DELHI CANNT,19-Nov-20,M3W,Unknown
489,DELHI CANNT,19-Dec-20,MTW,Unknown
500,DELHI CANNT,28-Dec-20,Truck/Tractor,Bus
50,DELHI CANNT,25-Feb-20,Self,Bus
70,DELHI CANNT,20-Mar-20,MTW,MTW
157,DELHI CANNT,05-Apr-20,Self,Unknown
166,DELHI CANNT,07-Apr-20,Pedestrian,MTW
314,DELHI CANNT,02-Aug-20,MTW,Unknown
348,DELHI CANNT,17-Aug-20,Self,Car
43,DWARKA,23-Jan-20,MTW,Car
263,DWARKA,11-Jun-20,Self,Unknown
376,DWARKA,27-Aug-20,Bicycle,Car
432,DWARKA,31-Oct-20,Other,MTW
475,DWARKA,25-Nov-20,MTW,Car
498,DWARKA,12-Dec-20,Pedestrian,Unknown
96,DWARKA,03-Mar-20,MTW,Truck/Tractor
