S.NO.,POLICE STATION,No. of crash,FIR NO.,U/S,DATE,OFFENDING VEHICLE,VICTIM,PLACE OF OCCURRENCE,ROAD NAME,YEAR,
1,ADARSH NAGAR,1,50,279/304 A IPC,24-01-2021,HTV/GDS,PEDSTRN,NR SHOP NO 34 TPT AZADPUR,MINOR ROADS,2021,
2,ADARSH NAGAR,1,104,279/304 A IPC,20-02-2021,UNKNOWN,S/C&M/C,NR POLICE BOOTH KEVAL PARK,51 NO ROAD,2021,
3,ADARSH NAGAR,1,141,279/304 A IPC,21-03-2021,UNKNOWN,S/C&M/C,AZADPUR FLYOVER TWDS 51 RD,51 NO ROAD,2021,
4,ADARSH NAGAR,1,192,279/304 A IPC,13-04-2021,HTV/GDS,S/C&M/C,NR ADARSH NAGAR METRO STN,GTK ROAD,2021,
5,ADARSH NAGAR,1,295,279/304 A IPC,18-06-2021,TEMPO,S/C&M/C,MAJLIS PARK METRO STATION,51 NO ROAD,2021,
6,ADARSH NAGAR,1,818,279/304 A IPC,19-12-2021,UNKNOWN,PEDSTRN,AZADPUR FLYOVER COHWK,RING ROAD,2021,
7,ALIPUR,1,4,279/304 A IPC,04-01-2021,UNKNOWN,PEDSTRN,NR BAKLI VILL,MINOR ROADS,2021,
8,ALIPUR,1,6,279/304 A IPC,04-01-2021,PVT CAR,S/C&M/C,INF ROYAL ARCHES BAKHTAWARPUR,MINOR ROADS,2021,
9,ALIPUR,1,29,279/304 A IPC,16-01-2021,UNKNOWN,PEDSTRN,HAMIDPUR VILLAGE NR JINDAL GOD,MINOR ROADS,2021,
10,ALIPUR,1,40,279/304 A IPC,23-01-2021,HTV/GDS,S/C&M/C,NR OLD AGE HOME KHERA KALA,MINOR ROADS,2021,
11,ALIPUR,1,69,279/304 A IPC,15-02-2021,TEMPO,S/C&M/C,SINGHU VILLAGE TAZPUR RD,MINOR ROADS,2021,
12,ALIPUR,1,99,279/304 A IPC,08-03-2021,UNKNOWN,S/C&M/C,JINDPUR FLYOVER S AAG SINGHUB,GTK ROAD,2021,
13,ALIPUR,1,108,279/304 A IPC,12-03-2021,HTV/GDS,S/C&M/C,BEFOR KHERA UNDER PASS KHERA N,MINOR ROADS,2021,
