Auto_Date,Auto_Time,Form_No,Entry_Personnel,Filled_Date,FIR_No,Police_Station,Time_Of_Crash,Date_Of_Crash,Collision_Type,Hit_and_Run,Special_Case,Case File Available,Crash_Severity,No_Of_ Fatalities,No_Of_ Injured,No_Of_Vehicles,Location,Road_Type,Road_1,Road_2,Road_3,GPS_Lat,GPS_Long,Note,No_of_Lanes,Curb_Type,Shoulder_Type,Median_Type,Light_Condition,Weather_Condition,Crash_ID,Distance_From_Landmark,Text97,Veh_Rel_Travel_Dir
12-09-2022,08:44 AM,210050,Yatin Pimple,25-Apr-22,0050,21,20:30,23-01-2021,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,,near shop no 34,tpt azad pur delhi,new delhi,0,0,pedestrian was hit by truck from behind while loading goods in parked truck and was declared brought dead on arrival to hospital.,,,,,,,3446,0,west,Same Direction
12-09-2022,08:45 AM,210295,Yatin Pimple,25-Apr-22,0295,1,23:55,17-06-2021,Sideswipe (Same Direction),TRUE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,,Main road najid,Majlis park metro station,delhi,0,0,Scooty driver hit by  tempo truck while taking U turn . Tempo driver ran away from site with his vehicle.,,,,,,,3447,1,north west,Same Direction
12-09-2022,08:45 AM,210818,Yatin Pimple,25-Apr-21,0818,1,09:00,19-12-2021,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,,Azad pur flyover chowk,delhi,,0,0,One unidentified person found dead on spot . Unknown vehicle,,,,,,,3448,0,North,Unknown
12-09-2022,08:45 AM,210006,Yatin Pimple,25-Apr-21,0006,2,20:30,03-01-2021,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,,in front of royal arches,bhaktawarpur road,ali pur delhi,0,0,Motorcycle driver hit by unknown vehicle . The driver was declared brought dead at hospital.,,,,,,,3449,2,north,Unknown
12-09-2022,08:45 AM,210029,Yatin Pimple,25-Apr-21,0029,2,08:50,16-01-2021,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,,Road near shankar jindal godam,Hamidpur,Delhi,0,0,An unknown person was found dead on the spot because he was hitted by an unknown vehicle.,,,,,,,3450,6,North,Unknown
12-09-2022,08:45 AM,210040,Yatin Pimple,25-Apr-21,0040,2,15:00,23-01-2021,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,,"Industrial Area, Near Old Age Home",Khera kala,Delhi,0,0,Motorcyclist was hit by the truck driver and was found dead on the spot as declared by the doctor.,,,,,,,3451,5,North-West,Unknown
12-09-2022,08:45 AM,210069,Yatin Pimple,25-Apr-21,0069,2,22:47,15-02-2021,Sideswipe (Same Direction),FALSE,FALSE,FALSE,Fatal Crash,1,1,2,Unknown,,Taj pur Road,Singhu village,Delhi,0,0,Motor cycle driver and pillion rider hit by Tempo Tata 407.Pillion rider died on the spot and driver was hospitalised.Tempo driver was there available on site .,,,,,,,3452,4,north east,Same Direction
12-09-2022,08:45 AM,210099,Yatin Pimple,25-Apr-21,0099,2,23:00,07-03-2021,Sideswipe (Same Direction),TRUE,FALSE,FALSE,Fatal Crash,1,0,2,,,GTK Road,"Jindpur flyover , near U Turn","Sindhu Border, Delhi",0,0,Motorcycle was hit by unknown vehicle while taking U Turn . Driver of motorcycle died on the spot and pillion rider got injuried .,,,,,,,3453,3,north east,Same Direction
12-09-2022,08:45 AM,210006,Ashwani,25-Apr-22,0006,90,00:00,10-01-2021,Unknown,TRUE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,,Bangla Shaib Gurudwara,Red Light,New Delhi,29,77,Unknown lady found unconscious on road . Impacting Vehicle also unknown.,,,,,,,3454,2,East,Unknown
12-09-2022,08:45 AM,210078,Ashwani,26-Apr-22,0078,90,19:30,14-06-2021,Unknown,FALSE,FALSE,FALSE,Fatal Crash,1,0,0,Unknown,,Ridge Road near Ramnath viz,"Marg , from Karol Bagh towards Dhaula Kuan",New Delhi,29,77,One motorist found in accidental condition on road and taken to hospital by public in private vehicle .,,,,,,,3455,2,South West,Unknown
