Auto_Date,Auto_Time,Form_No,Entry_Personnel,Filled_Date,FIR_No,Police_Station,Time_Of_Crash,Date_Of_Crash,Collision_Type,Hit_and_Run,Special_Case,Case File Available,Crash_Severity,No_Of_ Fatalities,No_Of_ Injured,No_Of_Vehicles,Location,Road_Type,Road_1,Road_2,Road_3,GPS_Lat,GPS_Long,Note,No_of_Lanes,Curb_Type,Shoulder_Type,Median_Type,Light_Condition,Weather_Condition,Crash_ID,Distance_From_Landmark,Text97,Veh_Rel_Travel_Dir
25-08-2022,11:20 AM,210336,Ashwani,29-Apr-22,0336,449,22:30,09-06-2021,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,,Near Moti Nagar Flyover,,,29,77,One pedestrian hit by unknown vehicle . No other detail available about the accused .,,,,,,,3446,1,West,Unknown
25-08-2022,11:20 AM,210473,Ashwani,29-Apr-22,0473,449,11:30,04-08-2021,Single Vehicle Overturn,FALSE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,,Moti Nagar Block - 7,Delhi,,29,77,Scooty slipped on road injuring the rider . No other details available .,,,,,,,3447,1,West,Not Applicable
25-08-2022,11:20 AM,210499,Ashwani,29-Apr-22,0499,449,,16-08-2021,Unknown,FALSE,FALSE,FALSE,Fatal Crash,1,0,2,Unknown,,Moti Nagar to Najafgarh Road carriage way,"near pillar no 335, Police Booth",24x 7 Kirti Nagar,29,77,Rickshaw puller was hit by tempo . Which resulted in death of the rickshaw puller.,,,,,,,3448,1,West,Unknown
25-08-2022,11:20 AM,210613,Ashwani,29-Apr-22,0613,449,16:30,13-10-2021,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,,Zakhira Flyover,"Near Masjid ,",New Rohtak Road,29,77,"One pedestrian hit by EECO car , she died on the spot . After the incident EECO car driver fled from the spot .",,,,,,,3449,2,North,Perpendicular Direction
25-08-2022,11:20 AM,210629,Ashwani,29-Apr-22,0629,449,20:00,17-10-2021,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,,Shadipur  Flyover,Moti Nagar,Delhi,29,77,Pedestrian was hit by unknown vehicle . No details or witness available in incident.,,,,,,,3450,2,,Unknown
25-08-2022,11:20 AM,210688,Ashwani,29-Apr-22,0688,449,23:00,04-11-2021,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,1,1,Unknown,,Zakhira Flyover,Delhi,,29,77,Two Pedestrian were hit by unknown vehicle . No eyewitness of incident available.,,,,,,,3451,2,North,Unknown
25-08-2022,11:20 AM,210735,Ashwani,29-Apr-22,0735,449,00:10,29-11-2021,Single Vehicle Overturn,FALSE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,,Near Government School,"H Block  , Karampura",New Delhi,29,77,"Scooty slipped while being driven by driver . Driver found unconcious and intoxicated , taken to hospital by PCR.",,,,,,,3452,1,West,Not Applicable
25-08-2022,11:20 AM,210323,Ashwani,29-Apr-22,0323,99,08:20,05-07-2021,Single Vehicle Overturn,FALSE,FALSE,FALSE,Fatal Crash,1,2,1,Unknown,,Ganda Nala Road,Near Nirankari Sarovar,,29,77,"Auto Tempo was over speeding , while turning the vehicle overturned and passengers got injured while the driver was declared DOA in hospital .",,,,,,,3453,1,,Not Applicable
25-08-2022,11:20 AM,210545,Ashwani,29-Apr-22,0545,99,23:50,03-11-2021,Hit Pedestrian,TRUE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,,"Model Town 1  , Red Light",Towards Camp Chowk Main Road,,29,77,One pedestrian was hit by unknown vehicle and was taken to hospital in ambulance . He was declared DOA in hospital.,,,,,,,3454,1,,Unknown
25-08-2022,11:20 AM,210556,Ashwani,29-Apr-22,0556,99,22:05,08-11-2021,Hit Pedestrian,FALSE,FALSE,FALSE,Fatal Crash,1,0,1,Unknown,,"Infront of BBM Bus Depot,",Way to Batra Cinema to Hakikat,"Nagar, Red Light.",29,77,Pedestrian was hit by moving car while crossing road . Car driver and witness took the pedestrian to Trauma Centre .,,,,,,,3455,1,,Perpendicular Direction
