Serial No.,FIR No.,Police Station ,Police district,Day of crash,Date,Date of crash,Month of crash,Year,"Time of crash 
(24 hr)",Was it a Hit and Run ?,Is it a Single vehicle crash?,Responsible road user type ,"At-fault driver 
Age",At-fault driver Gender,Total vehicles involved,Vehicle 1 user type,"Vehicle 1
Total injured","Vehicle 1
Total killed",Vehicle 2 user type,"Vehicle 2
Total injured","Vehicle 2
Total killed",Vehicle 3 user type,"Vehicle 3
Total injured","Vehicle 3
Total killed","Pedestrians 
injured","Pedestrians 
killed",Total injured,Total Killed,"Age 
(killed 1)","Gender 
(killed 1)","Road user type 
(killed 1)","Age 
(killed 2)","Gender 
(killed 2)","Road user type 
(killed 2)","Age 
(killed 3)","Gender 
(killed 3)","Road user type 
(killed 3)","Age 
(killed 4)","Gender 
(killed 4)","Road user type 
(killed 4)","Age 
(killed 5)","Gender 
(killed 5)","Road user type 
(killed 5)",Place of occurrence,Road name,Latitude,Longitude
1,115,DARYA GANJ,CENTRAL,Monday,26-04-2021,26,4,2021,,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,0,1,0,1,40,,Pedestrian,,,,,,,,,,,,,NR RAJGHAT BUS DEPOT,OUTER RING ROAD BYPASS,28.63993,77.25726
2,181,DARYA GANJ,CENTRAL,Monday,14-06-2021,14,6,2021,15:30,Yes,No,Unknown,,,2,Car/Jeep/Van/Taxi,0,0,Motorcycle,0,1,,0,0,0,0,0,1,,Male,Motorcyclist,,,,,,,,,,,,,NR DTC RAJGHAT BUS DEPOT NR U,RING ROAD BYPASS,28.64210,77.25275
3,231,DARYA GANJ,CENTRAL,Monday,14-06-2021,14,6,2021,22:45,No,No,Motorcycle,,,2,Motorcycle,0,0,Motorcycle,0,1,,0,0,0,0,0,1,51,Male,Motorcyclist,,,,,,,,,,,,,AFTER CUT RAJGHAT TO KASHMIRI GATE,RING ROAD BYPASS,28.66285,77.23709
4,234,DARYA GANJ,CENTRAL,Thursday,08-07-2021,8,7,2021,03:45,No,No,Car/Jeep/Van/Taxi,,Male,1,Car/Jeep/Van/Taxi,0,0,,0,0,,0,0,1,1,1,1,55,Male,Pedestrian,,,,,,,,,,,,,TWDS RED FORT NR SABJI MANDI,N.SUBHASH MARG,28.65573,77.23991
5,337,DARYA GANJ,CENTRAL,Friday,27-08-2021,27,8,2021,00:45,Yes,No,Tempo,,Male,1,Tempo,0,0,,0,0,,0,0,0,1,0,1,45,Male,Pedestrian,,,,,,,,,,,,,SHANTI VAN RED LIGHT,RING ROAD BYPASS,28.65078,77.245069
6,340,DARYA GANJ,CENTRAL,Friday,27-08-2021,27,8,2021,16:38,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,0,1,0,1,50,Male,Pedestrian,,,,,,,,,,,,,NR DELHI GATE RED LIGHT,N.SUBHASH MARG,28.65210,77.23806
7,63,DESH BANDHU GUPTA RD,CENTRAL,Monday,08-03-2021,8,3,2021,12:20,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,0,1,0,1,,Male,Pedestrian,,,,,,,,,,,,,NR OM BHATOORASHOP K BAGH,DESH BANDU GUPTA RD,28.64573,77.15111
8,93,DESH BANDHU GUPTA RD,CENTRAL,Friday,26-03-2021,26,3,2021,01:25,No,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,0,1,0,1,26,Male,Pedestrian,,,,,,,,,,,,,INF JEEVAN MALA HOSPITAL DELHI,NEW ROHTAK ROAD,28.65977,77.19428
9,271,DESH BANDHU GUPTA RD,CENTRAL,Thursday,22-07-2021,22,7,2021,22:11,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,0,1,0,1,82,Male,Pedestrian,,,,,,,,,,,,,NR DBG ROAD POLICE STATION,MINOR ROADS,28.64886,77.19255
10,379,DESH BANDHU GUPTA RD,CENTRAL,Wednesday,22-09-2021,22,9,2021,17:20,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,0,1,0,1,55,Male,Pedestrian,,,,,,,,,,,,,CHANGEZI PREM DHABA DBG RD,NEW ROHTAK ROAD,28.65617,77.19826
11,23,I.P. ESTATE,CENTRAL,Friday,29-01-2021,29,1,2021,19:00,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,0,1,0,1,,Male,Pedestrian,,,,,,,,,,,,,INF SPT DELHI GATE PHASE II NR,MINOR ROADS,28.66120,77.09101
12,33,I.P. ESTATE,CENTRAL,Thursday,11-02-2021,11,2,2021,22:00,Yes,No,Unknown,,,2,Unknown,0,0,Motorcycle,1,1,,0,0,1,0,2,1,15,Male,Motorcyclist,,,,,,,,,,,,,EXPRESS BUILDING INF BSZ MG,BAHADUR SHAH ZR MARG,28.63308,77.24100
13,134,I.P. ESTATE,CENTRAL,Saturday,05-06-2021,5,6,2021,22:53,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,0,1,0,1,,Male,Pedestrian,,,,,,,,,,,,,WESTERAN CARRIAGE WAY IP FLY,RING ROAD BYPASS,28.62709,77.24667
14,66,I.P. ESTATE,CENTRAL,Saturday,13-03-2021,13,3,2021,20:00,No,No,Car/Jeep/Van/Taxi,40,Male,2,Car/Jeep/Van/Taxi,0,0,Cycle rickshaw,0,1,,0,0,0,0,0,1,60,Male,Cyclist,,,,,,,,,,,,,NR ANDHRA SCHOOL DDU MARG,DDU MARG,28.62840,77.23826
15,5,KAMLA MARKET,CENTRAL,Wednesday,06-01-2021,6,1,2021,12:30,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,1,1,1,1,,Female,Pedestrian,,,,,,,,,,,,,BHAVGHUTI MG NR PARKING KAMLA,BHABHUTI MARG,28.64137,77.22354
16,152,KAMLA MARKET,CENTRAL,Thursday,17-06-2021,17,6,2021,22:00,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,1,1,1,1,,Male,Pedestrian,,,,,,,,,,,,,NR ZAKIR HUSSAIN COLLEGE JLN M,JAWAR LAL NEHRU RD,28.64018,77.23105
17,341,KAMLA MARKET,CENTRAL,Monday,19-07-2021,19,7,2021,16:30,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,1,1,1,1,72,Male,Pedestrian,,,,,,,,,,,,,NR MINTO RD BUS STOP,MINTO ROAD,28.63950,77.22343
18,64,KAROL BAGH,CENTRAL,Tuesday,23-02-2021,23,2,2021,18:00,No,No,Car/Jeep/Van/Taxi,,,2,Car/Jeep/Van/Taxi,0,0,Car/Jeep/Van/Taxi,0,1,,0,0,0,0,0,1,,Male,Car/Jeep/Van/Taxi Driver,,,,,,,,,,,,,INF JIVTESH HOTEL SK DAS RD,MINOR ROADS,28.64447,77.19227
19,516,KAROL BAGH,CENTRAL,Thursday,26-08-2021,26,8,2021,23:20,No,No,Car/Jeep/Van/Taxi,20,Male,2,Motorcycle,0,1,Car/Jeep/Van/Taxi,0,0,,0,0,0,0,0,1,45,Male,Motorcyclist,,,,,,,,,,,,,KAROL BAGH METRO STATION PUSA,PUSA ROAD,28.64363,77.18856
20,556,KAROL BAGH,CENTRAL,Friday,10-09-2021,10,9,2021,01:40,Yes,No,Motorcycle,,,1,Motorcycle,0,0,,0,0,,0,0,0,1,0,1,,,Pedestrian,,,,,,,,,,,,,INF PAHUJA MOTOR ARYA SAMAJ,ARYA SAMAJ ROAD,28.64720,77.19447
21,87,NABI KARIM,CENTRAL,Saturday,10-04-2021,10,4,2021,13:30,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,0,1,0,1,35,Male,Pedestrian,,,,,,,,,,,,,NR TOURIST HOTEL QUTAB ROAD,QUTAB ROAD,28.65440,77.21703
22,124,NABI KARIM,CENTRAL,Friday,21-05-2021,21,5,2021,17:00,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,1,1,1,1,,Male,Pedestrian,,,,,,,,,,,,,NEEM WALA CHOWK XING NABI KRIM,QUTAB ROAD,28.65523,77.21595
23,383,PAHAR GANJ,CENTRAL,Friday,24-09-2021,24,9,2021,,Yes,No,Unknown,,,1,Unknown,,,,,,,0,0,0,1,0,1,,Male,Pedestrian,,,,,,,,,,,,,INF GALI NO 15 SADAR THANA RD,SADAR THANA ROAD,28.65386,77.21122
24,34,RAJENDER NAGAR,Central,Tuesday,02-03-2021,2,3,2021,01:30,No,No,Car/Jeep/Van/Taxi,29,Male,2,Motorcycle,1,1,Car/Jeep/Van/Taxi,0,0,,,,,,1,1,32,Male,Motorcyclist,,,,,,,,,,,,,INF 24*7 FROM VANDEMATRAM MARG,SHANKAR ROAD,28.63543,77.18567
25,393,SARAI ROHILA,NORTH,Thursday,24-06-2021,24,6,2021,20:50,No,No,DTC Buses,,,1,DTC Buses,0,0,,0,0,,0,0,4,1,4,1,,Male,Cyclist,,,,,,,,,,,,,KAMAL T POINT TURN TWDS KAROL,MINOR ROADS,28.65242,77.15716
26,10,DELHI CANNT,South West,Saturday,09-01-2021,9,1,2021,03:30,Yes,No,Heavy vehicles-goods carrier,,,2,Heavy vehicles-goods carrier,0,0,Heavy vehicles-goods carrier,0,1,,0,0,0,0,0,1,23,Male,HVs- Goods carrier driver,,,,,,,,,,,,,RAO TULA RAM RD FLYOVER VASANT,NH-8,28.57326,77.16115
27,15,DELHI CANNT,South West,Monday,11-01-2021,11,1,2021,14:00,No,No,Heavy vehicles-goods carrier,35,Male,2,Heavy vehicles-goods carrier,0,0,Motorcycle,0,1,,0,0,0,0,0,1,35,Male,Motorcyclist,,,,,,,,,,,,,NR STATION RD TO DHAULA KUAN,STATION ROAD,28.59516,77.16276
28,31,DELHI CANNT,South West,Friday,29-01-2021,29,1,2021,18:45,Yes,No,Heavy vehicles-goods carrier,,,2,Heavy vehicles-goods carrier,0,0,Motorcycle,1,1,,0,0,0,0,1,1,46,Female,Pillion rider,,,,,,,,,,,,,NR PEER BABA MAZAR PRAHLADPUR,MINOR ROADS,28.57889,77.09920
29,40,DELHI CANNT,South West,Friday,05-02-2021,5,2,2021,08:30,Yes,No,Car/Jeep/Van/Taxi,,,1,Car/Jeep/Van/Taxi,0,0,,0,0,,0,0,0,1,0,1,,Male,Pedestrian,,,,,,,,,,,,,NR RR HOSPITAL RTR MG DELHI CA,RAO TULA RAM MARG,28.58073,77.15904
30,53,DELHI CANNT,South West,Wednesday,24-02-2021,24,2,2021,0.02,Yes,No,Heavy vehicles-goods carrier,,,2,Heavy vehicles-goods carrier,0,0,Car/Jeep/Van/Taxi,0,1,,0,0,0,0,0,1,,Male,Car/Jeep/Van/Taxi Driver,,,,,,,,,,,,,SANJAY T POINT FLYOVER KE UPPE,NH-8,28.59199,77.16023
31,70,DELHI CANNT,South West,Saturday,13-03-2021,13,3,2021,06:50,Yes,No,Unknown,,,1,Unknown,0,0,,0,0,,0,0,0,1,0,1,,Male,Pedestrian,,,,,,,,,,,,,SANJAY T POINT TWRD DHAULA KUA,NH-8,28.59229,77.16092
32,84,DELHI CANNT,South West,Monday,29-03-2021,29,3,2021,16:55,Yes,No,Unknown,,,2,Unknown,0,0,Motorcycle,0,1,,0,0,0,0,0,1,31,Male,Motorcyclist,,,,,,,,,,,,,PALAM FLYOVER LOOP TWRD IGI,DWARAKA FLYOVER ROAD,28.56005,77.17055
33,85,DELHI CANNT,South West,Monday,29-03-2021,29,3,2021,21:10,No,Yes,Car/Jeep/Van/Taxi,,Male,1,Car/Jeep/Van/Taxi,0,1,,,,,,,,,0,1,,Male,Car/Jeep/Van/Taxi Driver,,,,,,,,,,,,,DELHI CANTT S PALAMFLYOVER,DWARAKA FLYOVER ROAD,28.55987,77.17061
34,93,DELHI CANNT,South West,Friday,09-04-2021,9,4,2021,08:30,No,Yes,Motorcycle,38,Male,1,Motorcycle,0,1,,0,0,,0,0,0,0,0,1,38,Male,Motorcyclist,,,,,,,,,,,,,RTR MARG NR SIGNAL ENCLVE,RAO TULA RAM MARG,28.57404,77.15247
