age_from,age_to,Total,Male,Female
0,4,1432000,771000,661000
5,9,1506000,823000,683000
10,14,1541000,830000,711000
15,19,1739000,929000,811000
20,24,2023000,1041000,982000
25,29,2029000,1071000,958000
30,34,1879000,1026000,853000
35,39,1729000,931000,797000
40,44,1511000,806000,705000
45,49,1310000,697000,613000
50,54,1098000,586000,512000
55,59,871000,468000,403000
60,64,653000,349000,304000
65,69,483000,249000,235000
70,74,357000,177000,179000
75,79,223000,111000,111000
80,100,188000,96000,92000
