Auto_Date,Auto_Time,Vehicle_ID,Crash_ID,Vehicle_Type,Impacting_VehOrObject,Veh_Reg_Number,Veh_Make,Veh_Model,Veh_Model_Year,Veh_TrafficViolation,Veh_Manoeuvre_at_Crash,Veh_Loading_Condition,Veh_Mechanical_Failure,Veh_Hazardous_Cargo,Vehicle_Fire,Veh_Disposition,Combo48
25-Aug-22,11:20 AM,5102,3446,Unknown,Pedestrian,,,,,,,,,,,,
25-Aug-22,11:20 AM,5103,3447,MTW - Scooter/Moped,Others,,,,,,,,,,,,
25-Aug-22,11:20 AM,5104,3448,Three Wheeler - Goods,Cycle Rickshaw,DL 1LZ 1261,,,,,,,,,,,
25-Aug-22,11:20 AM,5105,3448,Cycle Rickshaw - Manual,Three Wheeler - Goods,,,,,,,,,,,,
25-Aug-22,11:20 AM,5106,3449,"Car - Van, Commercial",Pedestrian,DL 1 LV  8353,,,,,,,,,,,
25-Aug-22,11:20 AM,5107,3450,Unknown,Pedestrian,,,,,,,,,,,,
25-Aug-22,11:20 AM,5108,3451,Unknown,Pedestrian,,,,,,,,,,,,
25-Aug-22,11:20 AM,5109,3452,MTW - Scooter/Moped,Others,DL 10SB 6289,,,,,,,,,,,
25-Aug-22,11:20 AM,5110,3453,"Three Wheeler - Passenger, Commercial",Others,DL 2W 3361,,,,,,,,,,,
25-Aug-22,11:20 AM,5111,3454,Unknown,Pedestrian,,,,,,,,,,,,
25-Aug-22,11:20 AM,5112,3455,"Car - Van, Passenger",Pedestrian,DL 1 CR 5648,,,,,,,,,,,
25-Aug-22,11:20 AM,5113,3456,MTW - Motorcycle Light,Unknown,DL 8SCG 3271,,,,,,,,,,,
25-Aug-22,11:20 AM,5114,3457,"Three Wheeler - Passenger, Commercial",Pedestrian,HR  63 D 7944,,,,,,,,,,,
25-Aug-22,11:20 AM,5115,3458,Unknown,Pedestrian,,,,,,,,,,,,
25-Aug-22,11:20 AM,5116,3459,Two_Axle Heavy Commercial Vehicle,Bicycle - Manual,HR 61 D 8018,,,,,,,,,,,
25-Aug-22,11:20 AM,5117,3459,Bicycle - Manual,Two_Axle Heavy Commercial Vehicle,,,,,,,,,,,,
25-Aug-22,11:20 AM,5118,3460,Two_Axle Heavy Commercial Vehicle,MTW - Motorcycle Light,DL 1MA 4943,,,,,,,,,,,
25-Aug-22,11:20 AM,5119,3460,MTW - Motorcycle Light,Two_Axle Heavy Commercial Vehicle,DL 4SDF 8623,,,,,,,,,,,
25-Aug-22,11:20 AM,5120,3461,Two_Axle Heavy Commercial Vehicle,Pedestrian,PB 10CF 9860,,,,,,,,,,,
25-Aug-22,11:20 AM,5121,3461,Multi-Axle Heavy Commercial Vehicle,Pedestrian,UP 24T 6018,,,,,,,,,,,
25-Aug-22,11:20 AM,5122,3462,"Articulated Vehicle, Tractor Trailor",MTW - Motorcycle Light,,,,,,,,,,,,
25-Aug-22,11:20 AM,5123,3462,MTW - Motorcycle Light,"Articulated Vehicle, Tractor Trailor",DL 4SDC 2607,,,,,,,,,,,
25-Aug-22,11:20 AM,5124,3463,"Car - Van, Commercial",MTW - Motorcycle Light,HR 67 A 8001,,,,,,,,,,,
25-Aug-22,11:20 AM,5125,3463,MTW - Motorcycle Light,"Car - Van, Commercial",DL 8 SAZ 4032,,,,,,,,,,,
25-Aug-22,11:20 AM,5126,3464,"Articulated Vehicle, Tractor Trailor",MTW - Motorcycle Light,HR 38 Y 1608,,,,,,,,,,,
25-Aug-22,11:20 AM,5127,3464,MTW - Motorcycle Light,"Articulated Vehicle, Tractor Trailor",DL 4SDE 3685,,,,,,,,,,,
25-Aug-22,11:20 AM,5128,3465,Unknown,Pedestrian,,,,,,,,,,,,
25-Aug-22,11:20 AM,5129,3466,"Car - Van, Passenger",MTW - Motorcycle Light,HR 42 G 5038,,,,,,,,,,,
25-Aug-22,11:20 AM,5130,3466,MTW - Motorcycle Light,"Car - Van, Passenger",DL 4CT 0465,,,,,,,,,,,
25-Aug-22,11:20 AM,5131,3467,Unknown,Pedestrian,,,,,,,,,,,,
