PS_ID,PS_State,PS_Name,PS_Dist
1,Delhi,Adarsh Nagar,Delhi
2,Delhi,Ali Pur,Delhi
3,Delhi,Aman Vihar,Delhi
4,Delhi,Amar Colony,Delhi
5,Delhi,CIVIL LINESAmbedkar Nagar,Delhi
6,Delhi,Anand Parbat,Delhi
7,Delhi,AnandVihar,Delhi
8,Delhi,Ashok Vihar,Delhi
9,Delhi,Baba Haridas Nagar,Delhi
10,Delhi,Badarpur,Delhi
11,Delhi,Bara Hindu Rao,Delhi
12,Delhi,Barakhamba Road,Delhi
13,Delhi,Bawana,Delhi
14,Delhi,BegumPur,Delhi
15,Delhi,Bhajan Pura,Delhi
16,Delhi,Bhalaswa Dairy,Delhi
17,Delhi,Bharat Nagar,Delhi
18,Delhi,Binda Pur,Delhi
19,Delhi,BudhVihar,Delhi
20,Delhi,Burari,Delhi
21,Delhi,Chandni Mahal,Delhi
22,Delhi,ChankyaPuri,Delhi
23,Delhi,Chhawla,Delhi
24,Delhi,Chitaranjan Park,Delhi
25,Delhi,Civil Lines,Delhi
26,Delhi,Connaught Place,Delhi
27,Delhi,D.B.G. Road,Delhi
28,Delhi,Dabri,Delhi
29,Delhi,Darya Ganj,Delhi
30,Delhi,Dayalpur,Delhi
31,Delhi,Defence Colony,Delhi
32,Delhi,Delhi Cantt.,Delhi
33,Delhi,Dwarka North,Delhi
34,Delhi,Dwarka South,Delhi
35,Delhi,Farash Bazar,Delhi
36,Delhi,Fatehpur Beri,Delhi
37,Delhi,G.T B. Enclave,Delhi
38,Delhi,Gandhi Nagar,Delhi
39,Delhi,Geeta Colony,Delhi
40,Delhi,Ghazipur,Delhi
41,Delhi,GokulPuri,Delhi
42,Delhi,GovindPuri,Delhi
43,Delhi,Greater Kailash,Delhi
44,Delhi,GulabiBagh,Delhi
45,Delhi,Hari Nagar,Delhi
46,Delhi,Harsh Vihar,Delhi
47,Delhi,Hauz Qazi,Delhi
48,Delhi,HauzKhas,Delhi
49,Delhi,Hazrat Nizammuddin,Delhi
50,Delhi,I.P. Estate,Delhi
51,Delhi,Inder Puri,Delhi
52,Delhi,Jaffarpur Kalan,Delhi
53,Delhi,Jaffrabad,Delhi
54,Delhi,Jagatpuri,Delhi
55,Delhi,Jahangir Puri,Delhi
56,Delhi,Jaitpur,Delhi
57,Delhi,JamaMasjid,Delhi
58,Delhi,Jamia Nagar,Delhi
59,Delhi,JanakPuri,Delhi
60,Delhi,IG/Airport,Delhi
61,Delhi,Jyoti Nagar,Delhi
62,Delhi,K.N katju Marg,Delhi
63,Delhi,Kalindi Kunj,Delhi
