PS_ID,PS_Name,PS_Name_New,PS_State,PS_Dist,div_DCP,Sb_div_ACP,Circle_TI
1,Adarsh Nagar,Adarsh Nagar,Delhi,Delhi,North West,Shalimar Bagh,Jahangir Puri
2,Ali Pur,AliPur,Delhi,Delhi,Outer North,Samai Pur Badli,Samai Pur Badli
3,Aman Vihar,Aman Vihar,Delhi,Delhi,Rohini,Begum Pur,Aman Vihar
4,Amar Colony,Amar Colony,Delhi,Delhi,South East,Kalkaji,Kalkaji
5,CIVIL LINESAmbedkar Nagar,Ambedkar Nagar,Delhi,Delhi,South,Hauz Khas,Chittaranjan Park
6,Anand Parbat,Anand Parbat,Delhi,Delhi,Central,Patel Nagar,Patel Nagar
7,AnandVihar,Anand Vihar,Delhi,Delhi,Shahdara,Gandhi Nagar,Vivek Vihar
8,Ashok Vihar,Ashok Vihar,Delhi,Delhi,North West,Ashok Vihar,Ashok Vihar
9,Baba Haridas Nagar,Baba Haridas Nagar,Delhi,Delhi,Dwarka,Najafgarh,Najafgarh
10,Badarpur,Badarpur,Delhi,Delhi,South East,Sarita Vihar,Badarpur
11,Bara Hindu Rao,Bara Hindu Rao,Delhi,Delhi,North,Kotwali,Sadar Bazar
12,Barakhamba Road,Barakhamba Road,Delhi,Delhi,New Delhi,Connaught Place,Barakhamba Road
13,Bawana,Bawana,Delhi,Delhi,Outer North,Bawana,Bawana
14,BegumPur,Begum Pur,Delhi,Delhi,Rohini,Begum Pur,Begum Pur
15,Bhajan Pura,Bhajan Pura,Delhi,Delhi,North East,Bhajan Pura,Bhajan Pura
16,Bhalaswa Dairy,Bhalswa Dairy,Delhi,Delhi,Outer North,Swaroop Nagar,Swaroop Nagar
17,Bharat Nagar,Bharat Nagar,Delhi,Delhi,North West,Ashok Vihar,Ashok Vihar
18,Binda Pur,Binda Pur,Delhi,Delhi,Dwarka,Dwarka,Dabri
19,BudhVihar,Budh Vihar,Delhi,Delhi,Rohini,Rohini,Prashant Vihar
20,Burari,Burari,Delhi,Delhi,North,Civil Lines,Timarpur
21,Chandni Mahal,Chandni Mahal,Delhi,Delhi,Central,Kamla Market,Darya Ganj
22,ChankyaPuri,Chanakya Puri,Delhi,Delhi,New Delhi,Chanakya Puri,Chanakya Puri
23,Chhawla,Chhawla,Delhi,Delhi,Dwarka,Najafgarh,Chhawla
24,Chitaranjan Park,Chittaranjan Park,Delhi,Delhi,South,Hauz Khas,Chittaranjan Park
25,Civil Lines,Civil Lines,Delhi,Delhi,North,Civil Lines,Civil Lines
26,Connaught Place,Connaught Place,Delhi,Delhi,New Delhi,Connaught Place,Connaught Place
27,D.B.G. Road,D.B.G. Road,Delhi,Delhi,Central,Patel Nagar,Pahar Ganj
28,Dabri,Dabri,Delhi,Delhi,Dwarka,Dwarka,Dabri
29,Darya Ganj,Darya Ganj,Delhi,Delhi,Central,Kamla Market,Darya Ganj
30,Dayalpur,Dayalpur,Delhi,Delhi,North East,Bhajanpura,Gokul Puri
31,Defence Colony,Defence Colony,Delhi,Delhi,South,Hauz Khas,Defence Colony
32,Delhi Cantt.,Delhi Cantt.,Delhi,Delhi,South west,Delhi Cantt.,Delhi Cantt.
33,Dwarka North,Dwarka North,Delhi,Delhi,Dwarka,Dwarka,Dwarka
34,Dwarka South,Dwarka South,Delhi,Delhi,Dwarka,Dwarka,Dwarka
35,Farash Bazar,Farsh Bazar,Delhi,Delhi,Shahdara,Shahdara,Shahdara
36,Fatehpur Beri,Fatehpur Beri,Delhi,Delhi,South,Mehrauli,Mehrauli
37,G.T B. Enclave,G.T.B. Enclave,Delhi,Delhi,Shahdara,Shahdara,Seema Puri
38,Gandhi Nagar,Gandhi Nagar,Delhi,Delhi,Shahdara,Gandhi Nagar,Gandhi Nagar
39,Geeta Colony,Geeta Colony,Delhi,Delhi,Shahdara,Gandhi Nagar,Gandhi Nagar
40,Ghazipur,Ghazipur,Delhi,Delhi,East District,Preet Vihar,Madhu Vihar
41,GokulPuri,Gokul Puri,Delhi,Delhi,North East,Bhajanpura,Gokul Puri
42,GovindPuri,Govind Puri,Delhi,Delhi,South East,Kalkaji,Kalkaji
43,Greater Kailash,Greater Kailash,Delhi,Delhi,South,Hauz Khas,Chittaranjan Park
44,GulabiBagh,Gulabi Bagh,Delhi,Delhi,North,Kotwali,Sarai Rohilla
45,Hari Nagar,Hari Nagar,Delhi,Delhi,West,Rajouri Garden,Rajouri Garden
46,Hari Nagar,Hari Nagar,Delhi,Delhi,West,Rajouri Garden,Rajouri Garden
47,Hauz Qazi,Hauz Qazi,Delhi,Delhi,Central,Kamla Market,Kamla Market
48,HauzKhas,Hauz Khas,Delhi,Delhi,South,Hauz Khas,Hauz Khas
49,Hazrat Nizammuddin,Hazrat Nizamuddin,Delhi,Delhi,South East,Kalkaji,Lajpat Nagar
50,I.P. Estate,I.P.Estate,Delhi,Delhi,Central,Kamla Market,Kamla Market
51,Inder Puri,Inder Puri,Delhi,Delhi,West,Punjabi Bagh,Mayapuri
52,Jaffarpur Kalan,Jaffarpur Kalan,Delhi,Delhi,Dwarka,Najafgarh,Chhawla
53,Jaffrabad,Jaffrabad,Delhi,Delhi,North East,Bhajan Pura,Bhajan Pura
54,Jagatpuri,Jagat puri,Delhi,Delhi,Shahdara,Gandhi Nagar,Vivek Vihar
55,Jahangir Puri,Jahangir Puri,Delhi,Delhi,North West,Shalimar Bagh,Jahangir Puri
