wrong,correct
NANDNAGARI,NANDNAGRI
NARELALNDAREA,NARELAINDAREA
NEWASHOKNAFAR,NEWASHOKNAGAR
NEWFRIENDSCOLONY,NEWFRIENDSCOLONV
NEWUSMANPUR,NEWUSHMANPUR
OKHLAINDAREA,OKHLA
PARSHANTVIHAR,PRASHANTVIHAR
RAJINDERNAGAR,RAJENDERNAGAR
NORTHROHINI,ROHININORTH
SOUTHROHINI,ROHINISOUTH
SARAIROHILLA,SARAIROHILA
SUBHASHPLACE,SARASWATIVIHARSUBHASHPLACE
SHAKARPUR,SHAKARPURNEW
SWARUPNAGAR,SWAROOPNAGAR
TUGHLAKROAD,TUGLAKROAD
JAFFRABAD,ZAFRABAD
CHANKYAPURI,CHANAKYAPURI
CHHAWLA,CHHAWALA
CHITARANJANPARK,CHITRANJANPARK
DELHICANTT,DELHICANNT
DBGROAD,DESHBANDHUGUPTARD
SOUTHCAMPUS,DHAULAKUANSOUTHCAMPUS
CIVILLINESAMBEDKARNAGAR,DRAMBEDKARNAGAR
SECTOR23DWARKA,DWARKA
FARASHBAZAR,FARSHBAZAR
GHAZIPUR,GAJIPUR
GOKULPURI,GOKALPURI
HAZRATNIZAMMUDDIN,HAZRATNIZAMUDDIN
IGAIRPORT,IGIAIRPORT
KASHMEREGATE,KASHMIRIGATE
KHYALA,KHAYALA
KHAJURIKHAS,KHAZOORI
JAFFARPUR,JAFFARPURKALAN
WELCOME,WELCOMECOLONY
NARELAOLDINDAREA,NARELA
AMBEDKARNAGAR,DRAMBEDKARNAGAR
