Crash_ID,Entry_Personnel,FIR_No,PS_Name,Date_Of_Crash,Victim_Vehicle_Type,VICTIMS_DP,Impacting_VehOrObject,OFFENDING_VEHICLE_DP,Note
3449,Yatin Pimple,6,ALIPUR,03-01-2021,MTW,MTW,Unknown,Car,Motorcycle driver hit by unknown vehicle . The driver was declared brought dead at hospital.
3454,Ashwani,6,MANDIRMARG,10-01-2021,Pedestrian,Pedestrian,Unknown,Car,Unknown lady found unconscious on road . Impacting Vehicle also unknown.
3455,Ashwani,78,MANDIRMARG,14-06-2021,MTW,MTW,Unknown,Truck/Tractor,One motorist found in accidental condition on road and taken to hospital by public in private vehicle .
3460,Ashwani,136,MANDIRMARG,14-11-2021,Pedestrian,Pedestrian,Truck/Tractor,Bus,"One boy run over by cluster bus on red light crossing . Victim rushed to hospital in PCR , Declared DOA by doctor."
3461,Ashwani,140,MANDIRMARG,20-11-2021,MTW,MTW,Car,Truck/Tractor,"Motor cycle hit by car from behind , resulting in injuries to motorcycle driver and rider. Later during treatment pillion rider died."
3463,Ashwani,149,MANDIRMARG,14-12-2021,Car,Pedestrian,Unknown,Car,Brezza car found in accidental condition on road . Driver was unconcious and not responding
3465,Ashwani,235,MANGOLPURI,27-03-2021,MTW,MTW,Truck/Tractor,Bus,driver and pillion rider on motorcycle hit by one tourist bus from behind .
3467,Ashwani,802,MANGOLPURI,04-07-2021,Truck/Tractor,Pedestrian,M3W,M3W,"Driver and helper were repairing there Tempo , while repairing helper was hit by TSR Auto . Injuries led to helper's death."
3474,Ashwani,135,MANSAROVERPARK,03-05-2021,MTW,Pedestrian,Fixed object,MTW,Motorist was speeding and hit the speed breaker.Driver was fine only the pillion rider fell of the bike and got injured.
3480,Ashwani,354,MAURYAENCLAVE,28-04-2021,Pedestrian,Other,Car,Truck/Tractor,Rickshaw puller was hit by car and injured . Car driver fled from the scene . Two Eye witness followed the car for some distance .
3485,Ashwani,778,MAURYAENCLAVE,01-07-2021,Other,Other,Car,Unknown,Rickshaw puller was hit by car and taken to hospital by ambulance .
3504,Ashwani,3,MEHRAULI,01-01-2021,MTW,MTW,Car,Truck/Tractor,Bike driver and pillion were hit by a car . Later car driver left the site .
3507,Ashwani,377,MEHRAULI,15-06-2021,MTW,MTW,Other,Unknown,"Scooty skid off the road , injurying rider and pillion rider ."
3508,Ashwani,422,MEHRAULI,20-07-2021,MTW,MTW,Truck/Tractor,Unknown,Bike riders were hit side ways by a water tanker .Driver of bike died in hospital and pillion was injured.
3517,Ashwani,80,MOTINAGAR,04-03-2022,MTW,MTW,M3W,Truck/Tractor,One Tempo and 02 bikes found on site . No other details available about incident.
3520,Ashwani,129,MOTINAGAR,29-03-2021,Pedestrian,MTW,Unknown,Unknown,"Pedestrian hit by unknown vehicle , no other details available about the incident."
3525,Ashwani,1068,MUNDKA,27-11-2021,Pedestrian,Pedestrian,Car,Truck/Tractor,One Pick up Van hit pedestrian on road and ran away . Pedestrian was taken to hospital by PCR and declared DOA.
3527,Ashwani,1093,MUNDKA,10-12-2021,Bicycle,Bicycle,M3W,Truck/Tractor,One Tempo hit another tempo due to which both  the tempos overturned . One cyclist came under the hitting Tempo . The cyclist was taken to hospital in private vehicle by hitting tempo driver . In hospital the cyclist was declared DOA .
3529,Ashwani,1129,MUNDKA,25-12-2021,Bicycle,Bicycle,M3W,Truck/Tractor,One bicycle rider was hit by tempo from behind and killed on the spot .
3540,Ashwani,386,"NAJAFGARH",19-07-2021,Pedestrian,Pedestrian,Truck/Tractor,Unknown,One pedestrian was hit by truck while the driver was reversing it . Pedestrian was taken to hospital where he was given treatment and sent to home . Later after 03 days he was brought to hospital due to same injuries and died during treatment .
3542,Ashwani,561,"NAJAFGARH",21-10-2021,Pedestrian,Pedestrian,Car,Bus,One RTV hit pedestrian and pedestrian was taken to hospital .
3543,Ashwani,566,"NAJAFGARH",27-10-2021,Bicycle,MTW,Truck/Tractor,Truck/Tractor,A cyclist was hit and run over by truck . He died on the spot . There are no details of truck .
