AREA_NAME,GEO_LABEL,COUNTRY,ADM1_NAME,ADM2_NAME,Million plus city names
INDIA,INDIA,INDIA,,,
.ANDAMAN AND NICOBAR ISLANDS,INDIA_ANDAMAN AND NICOBAR ISLANDS,INDIA,ANDAMAN AND NICOBAR ISLANDS,,
..NICOBAR,INDIA_ANDAMAN AND NICOBAR ISLANDS_NICOBAR,INDIA,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,
..NORTH  AND MIDDLE ANDAMAN,INDIA_ANDAMAN AND NICOBAR ISLANDS_NORTH  AND MIDDLE ANDAMAN,INDIA,ANDAMAN AND NICOBAR ISLANDS,NORTH  AND MIDDLE ANDAMAN,
..SOUTH ANDAMAN,INDIA_ANDAMAN AND NICOBAR ISLANDS_SOUTH ANDAMAN,INDIA,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,
.ANDHRA PRADESH,INDIA_ANDHRA PRADESH,INDIA,ANDHRA PRADESH,,
..SR?K?KULAM,INDIA_ANDHRA PRADESH_SR?K?KULAM,INDIA,ANDHRA PRADESH,SR?K?KULAM,
..VIZIANAGARAM,INDIA_ANDHRA PRADESH_VIZIANAGARAM,INDIA,ANDHRA PRADESH,VIZIANAGARAM,
..VISH?KHAPATNAM,INDIA_ANDHRA PRADESH_VISH?KHAPATNAM,INDIA,ANDHRA PRADESH,VISH?KHAPATNAM,GVMC
..EAST GOD?VARI,INDIA_ANDHRA PRADESH_EAST GOD?VARI,INDIA,ANDHRA PRADESH,EAST GOD?VARI,
..WEST GOD?VARI,INDIA_ANDHRA PRADESH_WEST GOD?VARI,INDIA,ANDHRA PRADESH,WEST GOD?VARI,
..KRISHNA,INDIA_ANDHRA PRADESH_KRISHNA,INDIA,ANDHRA PRADESH,KRISHNA,Vijayawada
..GUNT?R,INDIA_ANDHRA PRADESH_GUNT?R,INDIA,ANDHRA PRADESH,GUNT?R,Vijayawada
..PRAKASAM,INDIA_ANDHRA PRADESH_PRAKASAM,INDIA,ANDHRA PRADESH,PRAKASAM,
..NELLORE,INDIA_ANDHRA PRADESH_NELLORE,INDIA,ANDHRA PRADESH,NELLORE,
..YSR KADAPA,INDIA_ANDHRA PRADESH_YSR KADAPA,INDIA,ANDHRA PRADESH,YSR KADAPA,
..KURNOOL,INDIA_ANDHRA PRADESH_KURNOOL,INDIA,ANDHRA PRADESH,KURNOOL,
..ANANTAPUR,INDIA_ANDHRA PRADESH_ANANTAPUR,INDIA,ANDHRA PRADESH,ANANTAPUR,
..CHITTOOR,INDIA_ANDHRA PRADESH_CHITTOOR,INDIA,ANDHRA PRADESH,CHITTOOR,
.ARUN?CHAL PRADESH,INDIA_ARUN?CHAL PRADESH,INDIA,ARUN?CHAL PRADESH,,
..TAWANG,INDIA_ARUN?CHAL PRADESH_TAWANG,INDIA,ARUN?CHAL PRADESH,TAWANG,
..WEST KAMENG,INDIA_ARUN?CHAL PRADESH_WEST KAMENG,INDIA,ARUN?CHAL PRADESH,WEST KAMENG,
