S. no.,FIR No.,Police station,Date of crash ,Time of crash (24 hr format),Responsible road user,Victim user type (as per Delhi Traffic Police),Pedestrian Injured ,Pedestrian killed,MTW Injured,MTW killed,Other vehicle type involved,Injured (other vehicle),Fatalities (other vehicle),Age (killed 1),Gender (killed 1),Road user type (killed 1),Age (killed 2),Gender (killed 2),Road user type (killed 2),Age (killed 3),Gender (killed 3),Road user type (killed 2),Responsible road user Age,Responsible road user Gender,Place of occurrence,Road name,Geocordinates (Latitude),Geocordinates (longitude),Total injured,Total killed,If offending vehicle is Unknown Reason unknown; eg: hit and run
1,20,DARYA GANJ,17-Jan-20,01:20,Motorised two wheeler,Self,0,0,2,1,,0,0,,Male,Driver,,,,,,,,,TWDS DELHI GATE INF GOLCHA CIN,N.SUBHASH MARG,28.644259,77.240461,2,1,
2,21,DARYA GANJ,21-Jan-20,06:29,Heavy vehicles,TMP,0,0,0,0,Tempo/ Tractor,0,1,,Male,Passenger,,,,,,,,Male,U TRIN ITO NR RAJ GHAT,BAHADUR SHAH ZR MARG,28.643219,77.256729,0,1,
3,33,DARYA GANJ,12-Feb-20,16:45,Car/ Jeep/ Van/ Taxi,Pedestrians,0,1,0,0,,0,0,33,Male,Pedestrian,,,,,,,,Male,NEAR RAJGHAT SAMADHI,RING ROAD,28.641657,77.246741,0,1,
4,117,DARYA GANJ,07-Jun-20,07:00,Auto-rickshaw- TSR,Pedestrians,0,1,0,0,,0,0,45,Male,Pedestrian,,,,,,,60,Male,RING ROAD RAJGHAT BUS STAND,RING ROAD BYPASS,28.63987,77.257488,0,1,
5,124,DARYA GANJ,19-Jun-20,20:45,Motorised two wheeler,Pedestrians,0,1,1,0,,0,0,,Male,Pedestrian,,,,,,,24,Male,SALEEM GARH BYE PASS,RING ROAD BYPASS,28.661909,77.239613,1,1,
6,125,DARYA GANJ,23-Jun-20,18:15,Motorised two wheeler,TWW,0,1,0,0,,0,0,40,Male,Pedestrian,,,,,,,,,NR AMBEDKAR BUS TERMINAL,JAWAR LAL NEHRU RD,28.639871,77.243084,0,1,
7,192,DARYA GANJ,23-Sep-20,21:30,Car/ Jeep/ Van/ Taxi,TWW,0,0,1,1,,0,0,,,,,,,,,,,,DELHI GATE RED LIGHT,JAWAR LAL NEHRU RD,28.640223,77.241149,1,1,
8,209,DARYA GANJ,24-Oct-20,15:40,UNKNOWN,Pedestrians,0,1,0,0,,0,0,45,Male,Pedestrian,,,,,,,,,DELHI GATE DARYAGANJ,N.SUBHASH MARG,28.64075,77.240456,0,1,Hit and run
9,126,DARYA GANJ,01-Jul-20,23:25,UNKNOWN,Pedestrians,0,1,0,0,,0,0,40,Male,Pedestrian,,,,,,,,,INF DELITE CINEMA,ASAF ALI ROAD,28.641053,77.235722,0,1,Hit and run
10,188,DARYA GANJ,20-Sep-20,08:30,UNKNOWN,TWW,0,0,0,1,,0,0,19,Male,Driver,,,,,,,,,NEAR DELHI GATE,JAWAR LAL NEHRU RD,28.640223,77.241149,0,1,Hit and run
11,33,DESH BANDHU GUPTA RD,27-Jan-20,Unknown,UNKNOWN,Pedestrians,0,1,0,0,,0,0,65,Male,Pedestrian,,,,,,,,,KALKA DASS CHOWK,FAIZ ROAD,28.648836,77.199379,0,1,Hit and run
12,35,DESH BANDHU GUPTA RD,03-Feb-20,22:30,Car/ Jeep/ Van/ Taxi,Cycle rickshaw,0,0,0,0,Cycle rickshaw,0,1,45,Male,Cyclist,,,,,,,45,Male,PREM DHABA NEW ROHTAK RD,NEW ROHTAK ROAD,28.654868,77.200144,0,1,
13,50,DESH BANDHU GUPTA RD,06-Mar-20,01:00,Motorised two wheeler,Cycle rickshaw,0,0,0,1,Cycle rickshaw,0,1,40,Male,Passenger,14,Male,Passenger,,,,,Male,KALKA DAS CHOWK DBG ROAD,DESH BANDU GUPTA RD,28.648836,77.199379,0,2,
14,166,DESH BANDHU GUPTA RD,23-Jun-20,00:00,UNKNOWN,TWW,0,0,0,1,,0,0,,Male,Driver,,,,,,,,,KALKA DASS ROAD DBG ROAD,KALKA DEVI MARG,28.648836,77.199379,0,1,Hit and run
15,182,DESH BANDHU GUPTA RD,12-Jul-20,06:29,Auto-rickshaw- TSR,Pedestrians,0,1,0,0,,0,0,64,Male,Pedestrian,,,,,,,,,FAIZ RD ROHTAK ROAD CROSING,NEW ROHTAK ROAD,28.653413,77.202567,0,1,
16,224,DESH BANDHU GUPTA RD,11-Sep-20,00:10,Heavy vehicles,TWW,0,0,1,1,,0,0,30,Male,Driver,,,,,,,35,Male,NR CHHOTE LAL PAN BHANDAR KARO,NEW ROHTAK ROAD,28.656521,77.196843,1,1,
17,239,DESH BANDHU GUPTA RD,08-Oct-20,10:00,Auto-rickshaw- TSR,Self,0,0,0,0,Auto-rickshaw,1,1,51,Male,Passenger,,,,,,,,Male,NR JEEWAN MALA HOSPITAL RED LI,NEW ROHTAK ROAD,28.657981,77.194208,1,1,
18,289,DESH BANDHU GUPTA RD,07-Dec-20,07:41,Tempo/ Tractor,Pedestrians,0,1,0,0,,0,0,50,Male,Pedestrian,,,,,,,,,KALKA DAS CHOWK KAROL BAGH,FAIZ ROAD,28.648836,77.199379,0,1,
19,291,DESH BANDHU GUPTA RD,07-Dec-20,16:00,Motorised two wheeler,Self,0,0,0,1,,0,0,63,Male,Driver,,,,,,,,,NR RAINBOW ICECREAM GODOWN,DESH BANDU GUPTA RD,28.649718,77.198095,0,1,
20,45,DESH BANDHU GUPTA RD,24-Feb-20,22:30,UNKNOWN,Pedestrians,0,1,0,0,,0,0,40,Male,Pedestrian,,,,,,,,,"NR WINE SHOP,MUKHARJI MKT",NEW ROHTAK ROAD,28.652779,77.203788,0,1,Hit and run
21,24,I.P. ESTATE,16-Feb-20,21:45,Bus,TWW,0,0,0,1,,0,0,30,Male,Driver,,,,,,,,Male,ITO CHOWK,BAHADUR SHAH ZR MARG,28.627856,77.241463,0,1,
22,31,I.P. ESTATE,03-Mar-20,Unknown,UNKNOWN,Pedestrians,0,1,0,0,,0,0,30,Male,Pedestrian,,,,,,,,,YAMUNA BRIDGE,VIKAS MARG,28.627914,77.253482,0,1,Hit and run
23,148,I.P. ESTATE,22-Jul-20,23:00,UNKNOWN,TWW,0,0,0,1,,0,0,48,Male,Driver,,,,,,,,,LAXMI NAGAR PHQ,VIKAS MARG,28.62802,77.243012,0,1,Hit and run
24,215,I.P. ESTATE,18-Oct-20,20:40,Auto-rickshaw- TSR,Car,0,0,0,0,Bicycle,0,1,36,Male,Cyclist,,,,,,,,,YAMUN BRIDGE,VIKAS MARG,28.627914,77.253482,0,1,
25,229,I.P. ESTATE,06-Nov-20,04:47,Heavy vehicles,Pedestrians,0,0,0,0,Car/ Jeep/ Van/ Taxi,4,1,,Male,Passenger,,,,,,,,,NR IP METRO STATION,RING ROAD BYPASS,28.620293,77.248883,4,1,
26,6,JAMA MASJID,18-Jan-20,00:00,Heavy vehicles,Pedestrians,0,1,0,0,,0,0,25,Male,Pedestrian,,,,,,,50,Male,INF SHULABH SHOCHALAYA MEENA B,MINOR ROADS,28.65289,77.235603,0,1,
27,4,KAMLA MARKET,02-Jan-20,Unknown,UNKNOWN,TWW,0,1,0,0,,0,0,,Male,Pedestrian,,,,,,,,,NEAR BUS STAND ZAKIR HUSAIN CO,JAWAR LAL NEHRU RD,28.64131,77.22937,0,1,Hit and run
28,86,KAROL BAGH,09-Mar-20,22:20,UNKNOWN,TWW,0,0,0,1,,0,0,34,Male,Driver,,,,,,,,,NR METRO STATION KAROL BAGH GU,PUSA ROAD,28.643701,77.187079,0,1,Hit and run
