POLICE STATION ,PS_Name,PS_ID,,,,
ADARSH NAGAR,Adarsh Nagar,1,,,,
ALIPUR,Ali Pur,2,,,,
AMAN VIHAR,Aman Vihar,3,,,,
AMAR COLONY,Amar Colony,4,,,,
ANAND PARBAT,Anand Parbat,6,,,,
ANAND VIHAR,AnandVihar,7,,,,
ASHOK VIHAR,Ashok Vihar,8,,,,
BABA HARIDAS NAGAR,Baba Haridas Nagar,9,,,,
BADAR PUR,Badarpur,10,,,,
BARA HINDU RAO,Bara Hindu Rao,11,,,,
BARAKHAMBA ROAD,Barakhamba Road,12,,,,
BAWANA,Bawana,13,,,,
BEGUM PUR,BegumPur,14,,,,
BHAJAN PURA,Bhajan Pura,15,,,,
BHALASWA DAIRY,Bhalaswa Dairy,16,,,,
BHARAT NAGAR,Bharat Nagar,17,,,,
BINDA PUR,Binda Pur,18,,,,
BUDH VIHAR,BudhVihar,19,,,,
BURARI,Burari,20,,,,
CHANAKYA PURI,ChankyaPuri,22,,,,
CHANDNI MAHAL,Chandni Mahal,21,,,,
CHHAWALA,Chhawla,23,,,,
CHITRANJAN PARK,Chitaranjan Park,24,,,,
CIVIL LINES,Civil Lines,25,,,,
CONNAUGHT PLACE,Connaught Place,26,,,,
DABRI,Dabri,28,,,,
DARYA GANJ,Darya Ganj,29,,,,
DAYAL PUR,Dayalpur,30,,,,
DEFENCE COLONY,Defence Colony,31,,,,
DELHI CANNT,Delhi Cantt.,32,,,,
DELHI CANTT RLY STATION,,,,,,
DESH BANDHU GUPTA RD,D.B.G. Road,27,,,,
DHAULA KUAN(SOUTH CAMPUS),South Campus,161,,,,
DOMESTIC AIRPORT,Palam Airport,116,,,,
DR AMBEDKAR NAGAR,CIVIL LINESAmbedkar Nagar,5,,,,
DWARKA,Sector-23 Dwarka,150,,,,
DWARKA NORTH,Dwarka North,33,,,,
DWARKA SOUTH,Dwarka South,34,,,,
FARSH BAZAR,Farash Bazar,35,,,,
FATEHPUR BERI,Fatehpur Beri,36,,,,
GAJI PUR,Ghazipur,40,,,,
GANDHI NAGAR,Gandhi Nagar,38,,,,
GEETA COLONY,Geeta Colony,39,,,,
GOKAL PURI,GokulPuri,41,,,,
GOVIND PURI,GovindPuri,42,,,,
GREATER KAILASH,Greater Kailash,43,,,,
GTB ENCLAVE,G.T B. Enclave,37,,,,
GULABI BAGH,GulabiBagh,44,,,,
HARI NAGAR,Hari Nagar,45,,,,
HARSH VIHAR,Harsh Vihar,182,,,,
HAUZ KHAS,HauzKhas,48,,,,
HAUZ QAZI,Hauz Qazi,47,,,,
HAZRAT NIZAMUDDIN,Hazrat Nizammuddin,49,,,,
